"game_pk","season","official_date","weekday","has_abs_challenges","n_mj_event","n_mj_play","max_remaining"
723330,2023,"2023-04-08","Saturday","FALSE",0,0,
723398,2023,"2023-04-08","Saturday","FALSE",0,0,
723470,2023,"2023-04-08","Saturday","FALSE",0,0,
723475,2023,"2023-04-08","Saturday","FALSE",0,0,
723832,2023,"2023-04-08","Saturday","FALSE",0,0,
723888,2023,"2023-04-08","Saturday","FALSE",0,0,
721427,2023,"2023-04-09","Sunday","FALSE",0,0,
721572,2023,"2023-04-09","Sunday","FALSE",0,0,
721880,2023,"2023-04-09","Sunday","FALSE",0,0,
722024,2023,"2023-04-09","Sunday","FALSE",0,0,
722800,2023,"2023-04-09","Sunday","FALSE",0,0,
722875,2023,"2023-04-09","Sunday","FALSE",0,0,
723100,2023,"2023-04-09","Sunday","FALSE",0,0,
723176,2023,"2023-04-09","Sunday","FALSE",0,0,
723324,2023,"2023-04-09","Sunday","FALSE",0,0,
723400,2023,"2023-04-09","Sunday","FALSE",0,0,
723828,2023,"2023-04-09","Sunday","FALSE",0,0,
723885,2023,"2023-04-09","Sunday","FALSE",0,0,
723892,2023,"2023-04-09","Sunday","FALSE",0,0,
725393,2023,"2023-04-09","Sunday","FALSE",0,0,
721653,2023,"2023-04-11","Tuesday","FALSE",0,0,
721727,2023,"2023-04-11","Tuesday","FALSE",0,0,
721806,2023,"2023-04-11","Tuesday","FALSE",0,0,
721876,2023,"2023-04-11","Tuesday","FALSE",0,0,
721954,2023,"2023-04-11","Tuesday","FALSE",0,0,
722646,2023,"2023-04-11","Tuesday","FALSE",0,0,
722727,2023,"2023-04-11","Tuesday","FALSE",0,0,
722947,2023,"2023-04-11","Tuesday","FALSE",0,0,
723024,2023,"2023-04-11","Tuesday","FALSE",0,0,
723252,2023,"2023-04-11","Tuesday","FALSE",0,0,
723530,2023,"2023-04-11","Tuesday","FALSE",0,0,
723608,2023,"2023-04-11","Tuesday","FALSE",0,0,
723681,2023,"2023-04-11","Tuesday","FALSE",0,0,
723757,2023,"2023-04-11","Tuesday","FALSE",0,0,
725501,2023,"2023-04-11","Tuesday","FALSE",0,0,
721651,2023,"2023-04-12","Wednesday","FALSE",0,0,
721730,2023,"2023-04-12","Wednesday","FALSE",0,0,
721805,2023,"2023-04-12","Wednesday","FALSE",0,0,
721875,2023,"2023-04-12","Wednesday","FALSE",0,0,
721950,2023,"2023-04-12","Wednesday","FALSE",0,0,
722648,2023,"2023-04-12","Wednesday","FALSE",0,0,
722726,2023,"2023-04-12","Wednesday","FALSE",0,0,
722951,2023,"2023-04-12","Wednesday","FALSE",0,0,
723025,2023,"2023-04-12","Wednesday","FALSE",0,0,
723253,2023,"2023-04-12","Wednesday","FALSE",0,0,
723528,2023,"2023-04-12","Wednesday","FALSE",0,0,
723606,2023,"2023-04-12","Wednesday","FALSE",0,0,
723683,2023,"2023-04-12","Wednesday","FALSE",0,0,
723755,2023,"2023-04-12","Wednesday","FALSE",0,0,
725494,2023,"2023-04-12","Wednesday","FALSE",0,0,
721654,2023,"2023-04-13","Thursday","FALSE",0,0,
721726,2023,"2023-04-13","Thursday","FALSE",0,0,
721804,2023,"2023-04-13","Thursday","FALSE",0,0,
721869,2023,"2023-04-13","Thursday","FALSE",0,0,
721952,2023,"2023-04-13","Thursday","FALSE",0,0,
722649,2023,"2023-04-13","Thursday","FALSE",0,0,
722723,2023,"2023-04-13","Thursday","FALSE",0,0,
722948,2023,"2023-04-13","Thursday","FALSE",0,0,
723027,2023,"2023-04-13","Thursday","FALSE",0,0,
723251,2023,"2023-04-13","Thursday","FALSE",0,0,
723529,2023,"2023-04-13","Thursday","FALSE",0,0,
723607,2023,"2023-04-13","Thursday","FALSE",0,0,
723678,2023,"2023-04-13","Thursday","FALSE",0,0,
723750,2023,"2023-04-13","Thursday","FALSE",0,0,
725495,2023,"2023-04-13","Thursday","FALSE",0,0,
721655,2023,"2023-04-14","Friday","FALSE",0,0,
721729,2023,"2023-04-14","Friday","FALSE",0,0,
721798,2023,"2023-04-14","Friday","FALSE",0,0,
721870,2023,"2023-04-14","Friday","FALSE",0,0,
721949,2023,"2023-04-14","Friday","FALSE",0,0,
722647,2023,"2023-04-14","Friday","FALSE",0,0,
722722,2023,"2023-04-14","Friday","FALSE",0,0,
722946,2023,"2023-04-14","Friday","FALSE",0,0,
723021,2023,"2023-04-14","Friday","FALSE",0,0,
723249,2023,"2023-04-14","Friday","FALSE",0,0,
723531,2023,"2023-04-14","Friday","FALSE",0,0,
723605,2023,"2023-04-14","Friday","FALSE",0,0,
723679,2023,"2023-04-14","Friday","FALSE",0,0,
723754,2023,"2023-04-14","Friday","FALSE",0,0,
725496,2023,"2023-04-14","Friday","FALSE",0,0,
721645,2023,"2023-04-15","Saturday","FALSE",0,0,
721725,2023,"2023-04-15","Saturday","FALSE",0,0,
721799,2023,"2023-04-15","Saturday","FALSE",0,0,
721874,2023,"2023-04-15","Saturday","FALSE",0,0,
721953,2023,"2023-04-15","Saturday","FALSE",0,0,
