season,level,regime,first_date,last_date,n_called,n_called_abs_measured,abs_measured_share,n_called_roster_offset,roster_offset_share,n_batters,n_batters_abs_measured,abs_measured_batter_share,in_season_signature_share,trigger_share,abs_below_trigger,abs_height_link,contour_fit,area_all_sqin,area_cohort_sqin,sel_d_area_sqin,sel_d_area_lo95,sel_d_area_hi95,sel_d_top_in,sel_d_top_lo95,sel_d_top_hi95,sel_d_bot_in,sel_d_bot_lo95,sel_d_bot_hi95,sel_d_half_width_in,sel_d_half_width_lo95,sel_d_half_width_hi95,meas_d_area_sqin,meas_d_top_in,meas_d_bot_in,meas_d_half_width_in
2022,mlb,pre_buffer,2022-04-07,2022-10-05,367145,217859,0.593387,367145,1.000000,693,303,0.437229,0.000000,0.60,true,backlinked_from_2026,fitted,500.8544,503.5895,2.7351,0.1418,5.2978,0.0678,-0.0459,0.1777,0.0060,-0.0762,0.0843,0.0447,-0.0288,0.1160,-0.1043,-0.0109,-0.0045,-0.0017
2023,mlb,pre_buffer,2023-03-30,2023-10-01,374523,272064,0.726428,374523,1.000000,655,371,0.566412,0.000019,0.60,false,backlinked_from_2026,fitted,490.1624,491.9385,1.7760,-0.3324,4.0321,0.0568,-0.0468,0.1543,-0.0034,-0.0862,0.0701,0.0118,-0.0467,0.0713,-0.0899,-0.0069,-0.0026,-0.0010
2024,mlb,pre_buffer,2024-03-20,2024-09-30,367017,302888,0.825270,367017,1.000000,650,446,0.686154,0.000005,0.60,false,backlinked_from_2026,fitted,500.2904,501.3052,1.0148,-1.2214,3.1447,0.0558,-0.0508,0.1620,0.0131,-0.0653,0.0949,0.0279,-0.0326,0.0926,-0.1640,-0.0118,-0.0006,0.0004
2025,mlb,buffer_2025,2025-03-18,2025-09-28,368925,341232,0.924936,368925,1.000000,673,533,0.791976,0.000008,0.60,false,backlinked_from_2026,not_fitted_before_prereg,,,,,,,,,,,,,,,,,,
2026,mlb,abs_2026,2026-03-25,2026-09-21,358461,358459,0.999994,358461,1.000000,659,657,0.996965,0.998261,0.60,false,measured_in_season,not_fitted_before_prereg,,,,,,,,,,,,,,,,,,
